Timestamp,Your Phone,Your 4 digit ID,Quantity,Location,Measurement Value (db or lux)
12/10/2019 9:12:16,Android (all models),5555,Light Flux,In class (on writing desk),845
12/19/2019 8:56:39,Android (all models),5555,"Sound pressure level, SPL(dBA)",your bed at night,43
1/14/2020 15:37:31,Android (all models),5555,"Sound pressure level, SPL(dBA)",GIX Woodshop: No machines (SPL only),52
1/14/2020 18:38:35,Android (all models),8786,"Sound pressure level, SPL(dBA)",Starbucks at a table,60
1/14/2020 18:40:36,Android (all models),5402,"Sound pressure level, SPL(dBA)",Starbucks at a table,60
1/14/2020 18:49:33,iPhone (all models),6286,"Sound pressure level, SPL(dBA)",Starbucks at a table,77
1/14/2020 21:32:59,Android (all models),5402,"Sound pressure level, SPL(dBA)",In class (on writing desk),43
1/14/2020 21:36:42,Android (all models),8786,"Sound pressure level, SPL(dBA)",In class (on writing desk),30
1/14/2020 21:50:06,Android (all models),8786,"Sound pressure level, SPL(dBA)",In the car,52
1/14/2020 22:00:16,Android (all models),8786,"Sound pressure level, SPL(dBA)",your bed at night,26
1/15/2020 2:05:51,Android (all models),5402,"Sound pressure level, SPL(dBA)",In the car,63
1/15/2020 10:15:58,Android (all models),5402,"Sound pressure level, SPL(dBA)",your bed at night,48
1/15/2020 15:29:22,Android (all models),8786,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,49
1/15/2020 15:29:30,Android (all models),5402,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,63
1/15/2020 16:15:42,Android (all models),8786,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",77
1/15/2020 16:16:03,Android (all models),5402,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",72
1/15/2020 16:17:56,Android (all models),8786,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",79
1/15/2020 16:18:07,Android (all models),5402,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",72
